#t = 44900000; extr. Ts: 
0 0 0 0 
1 0 0 0 
2 0 17015 1701.5 
3 0 41438 4143.8 
4 0 9.16759e+08 27163.2 
5 0 2.77954e+07 185302 
0 1 0 0 
1 1 0 0 
2 1 10534 1053.4 
3 1 3.74547e+08 11097.7 
4 1 1.4052e+08 62453.3 
5 1 0 0 
0 2 41209 4120.9 
1 2 23186 2318.6 
2 2 1.85268e+08 5489.43 
3 2 4.19859e+07 18660.4 
4 2 0 0 
5 2 0 0 
0 3 9.74322e+08 28868.8 
1 3 1.38492e+08 4103.48 
2 3 2.28222e+07 10143.2 
3 3 0 0 
4 3 0 0 
5 3 0 0 
0 4 4.54595e+08 202042 
1 4 4.02977e+07 17910.1 
2 4 0 0 
3 4 0 0 
4 4 0 0 
5 4 0 0 
0 5 1.39762e+08 931747 
1 5 0 0 
2 5 0 0 
3 5 0 0 
4 5 0 0 
5 5 0 0 
