#t = 47600000; extr. Ts: 
0 0 0 0 
1 0 0 0 
2 0 0 0 
3 0 6325 632.5 
4 0 4.25255e+08 12600.1 
5 0 2.88913e+07 192609 
0 1 0 0 
1 1 0 0 
2 1 5341 534.1 
3 1 2.75742e+08 8170.14 
4 1 9.44447e+07 41975.4 
5 1 0 0 
0 2 1593 159.3 
1 2 4999 499.9 
2 2 3.19171e+08 9456.91 
3 2 9.95945e+07 44264.2 
4 2 0 0 
5 2 0 0 
0 3 7.74799e+08 22957 
1 3 3.21039e+08 9512.26 
2 3 1.1641e+08 51738 
3 3 0 0 
4 3 0 0 
5 3 0 0 
0 4 7.1847e+08 319320 
1 4 1.1683e+08 51924.6 
2 4 0 0 
3 4 0 0 
4 4 0 0 
5 4 0 0 
0 5 3.74531e+08 2.49687e+06 
1 5 4601 46010 
2 5 0 0 
3 5 0 0 
4 5 0 0 
5 5 0 0 
