#t = 44500000; extr. Ts: 
0 0 5.35876e+08 178.625 
1 0 2.32113e+09 25.7903 
2 0 1.51307e+07 756.537 
3 0 3.21418e+07 8035.45 
4 0 2.10253e+07 145002 
5 0 9.48241e+07 3.1608e+06 
0 1 3.2869e+06 821.725 
1 1 2.07676e+07 207.676 
2 1 1.65751e+07 4143.78 
3 1 2.84729e+07 37963.9 
4 1 2.32079e+07 160054 
5 1 0 0 
0 2 2.99967e+06 20687.4 
1 2 8.64068e+06 2160.17 
2 2 2.34829e+07 31310.5 
3 2 1.64684e+08 219579 
4 2 0 0 
5 2 0 0 
0 3 93426 3114.2 
1 3 9.45612e+06 12608.2 
2 3 1.02174e+08 136232 
3 3 0 0 
4 3 0 0 
5 3 0 0 
0 4 132085 26417 
1 4 2.39846e+06 16541.1 
2 4 0 0 
3 4 0 0 
4 4 0 0 
5 4 0 0 
0 5 0 0 
1 5 0 0 
2 5 0 0 
3 5 0 0 
4 5 0 0 
5 5 0 0 
