#t = 44800000; extr. Ts: 
0 0 3.7605e+08 125.35 
1 0 2.85807e+09 31.7563 
2 0 7.42104e+06 371.052 
3 0 1.32773e+07 3319.32 
4 0 3.12662e+06 21562.9 
5 0 999382 33312.7 
0 1 2.48723e+06 621.808 
1 1 2.24415e+07 224.415 
2 1 9.02056e+06 2255.14 
3 1 1.35021e+07 18002.8 
4 1 4.51464e+06 31135.4 
5 1 0 0 
0 2 1.00359e+06 6921.29 
1 2 6.66021e+06 1665.05 
2 2 1.09117e+07 14549 
3 2 9.44077e+07 125877 
4 2 0 0 
5 2 0 0 
0 3 704240 23474.7 
1 3 7.85772e+06 10477 
2 3 9.94525e+06 13260.3 
3 3 0 0 
4 3 0 0 
5 3 0 0 
0 4 474955 94991 
1 4 6.54797e+06 45158.4 
2 4 0 0 
3 4 0 0 
4 4 0 0 
5 4 0 0 
0 5 176549 176549 
1 5 0 0 
2 5 0 0 
3 5 0 0 
4 5 0 0 
5 5 0 0 
